CountryName,GDIY2001,GDIY2002,GDIY2003,GDIY2004,GDIY2005,GDIY2006,GDIY2007,GDIY2008,GDIY2009,GDIY2010,GIIY2001,GIIY2002,GIIY2003,GIIY2004,GIIY2005,GIIY2006,GIIY2007,GIIY2008,GIIY2009,GIIY2010
Australia,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13
Canada,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15
China,0.90,0.90,0.91,0.92,0.92,0.93,0.93,0.93,0.94,0.94,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21
Egypt,0.82,0.82,0.82,0.83,0.82,0.83,0.84,0.84,0.85,0.85,0.63,0.63,0.62,0.61,0.62,0.62,0.61,0.60,0.60,0.48
France,0.99,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.18,0.17,0.17,0.17,0.17,0.16,0.14,0.13,0.13,0.12
India,0.76,0.76,0.78,0.78,0.78,0.78,0.79,0.79,0.80,0.80,0.65,0.64,0.63,0.63,0.62,0.62,0.61,0.60,0.59,0.59
Iraq,0.74,0.74,0.75,0.76,0.76,0.78,0.79,0.78,0.79,0.79,0.63,0.63,0.60,0.58,0.57,0.56,0.56,0.56,0.55,0.55
Korea,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.93,0.19,0.18,0.18,0.12,0.12,0.12,0.11,0.12,0.12,0.12
Mexico,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.93,0.94,0.94,0.47,0.47,0.44,0.43,0.42,0.42,0.41,0.41,0.40,0.40
Nepal,0.77,0.78,0.79,0.79,0.81,0.83,0.83,0.85,0.88,0.90,0.66,0.66,0.65,0.64,0.63,0.63,0.56,0.52,0.51,0.50
SouthAfrica,0.94,0.94,0.94,0.94,0.93,0.93,0.94,0.94,0.94,0.95,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.41,0.41
Togo,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.80,0.67,0.67,0.65,0.65,0.64,0.63,0.62,0.62,0.62,0.61
UnitedKingdom,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.19
UnitedStates,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29
Yemen,0.62,0.62,0.66,0.67,0.68,0.69,0.69,0.71,0.72,0.72,0.80,0.79,0.81,0.81,0.80,0.80,0.79,0.79,0.78,0.78
