CountryName,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010
Canada,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15
Australia,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13
France,0.18,0.17,0.17,0.17,0.17,0.16,0.14,0.13,0.13,0.12
Korea,0.19,0.18,0.18,0.12,0.12,0.12,0.11,0.12,0.12,0.12
United Kingdom,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.19
China,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21
United States,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29
South Africa,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.41,0.41
Mexico,0.47,0.47,0.44,0.43,0.42,0.42,0.41,0.41,0.40,0.40
Egypt,0.63,0.63,0.62,0.61,0.62,0.62,0.61,0.60,0.60,0.48
Iraq,0.63,0.63,0.60,0.58,0.57,0.56,0.56,0.56,0.55,0.55
India,0.65,0.64,0.63,0.63,0.62,0.62,0.61,0.60,0.59,0.59
Nepal,0.66,0.66,0.65,0.64,0.63,0.63,0.56,0.52,0.51,0.50
Togo,0.67,0.67,0.65,0.65,0.64,0.63,0.62,0.62,0.62,0.61
Yemen,0.80,0.79,0.81,0.81,0.80,0.80,0.79,0.79,0.78,0.78
